Index,Item,Price
1947,IC 74HC157N,$0.60
1948,IC 74HC75N,$0.65
1949,8 Inches Pneumatic Wheel,$26.25
1950,ALPS Sensor Network Module,$116.25
1951,Raspberry Pi 4 Model B Beginner Kit (w/o Raspberry Pi),$42.48
1952,Microbit Quick Start Kit School Package (Buy 10 Get 1 Free),$275.00 $247.50
1953,IC 74HCT03N,$0.48
1954,IC 74LS06,$0.50
1955,IC 74LS92,$1.13
1956,Kit - Colourful Bed Lamp Using Tilt Sensor with Maker UNO,$12.13
1957,DIY Magnet Swing Kit (w Batteries),$3.13
1958,Panasonic (SUNX) Photoelectric Sensor,$56.25
1959,Tracked Mobile Tank Robot Kit,$700.00
1960,IC 74HCT221N,$1.33
1961,IC 74HC4040N,$0.55
1962,SICK Fiber Optic,$22.75
1963,IC 74LS125,$0.30
1964,IC ISD1790,$13.75
1965,Digilent Nexys Video Artix-7 FPGA,$600.00
1966,IC 74HC27N,$0.41
1967,IC 74HC237N,$0.55
1968,IC 74LS132,$0.45
1969,IC 74HCT9046AN,$5.00
1970,Arty Artix-7 FPGA Development Board,$174.75
1971,IC 74LS137,$0.68
1972,Cmod A7: Breadboardable Artix-7 FPGA,$95.00
1973,Creality Ender 3/PRO Endstop Switch Module,$2.38
1974,IC 74LS123,$0.50
1975,Single Spacer,$0.38
1976,Robot. Head To Toe (Volume 1),$1.75
1977,M12 Capacitive Proximity Sensor,$49.50
1978,rero Basic Set,$212.50
1979,Digilent Virtex-7 FPGA Development Board,"$8,000.00"
1980,Robot. Head To Toe (Volume 2),$1.75
1981,Hokuyo Digital Fiber Sensor (Red LED),$90.00
1982,PCB Ruler by Cytron (Limited edition),$5.00
1983,RPI4B Heatsink with Fan for CPU and RAM,$8.13
1984,IC PT2272-M4,$1.25
1985,IC 74LS30,$0.35
1986,Robot. Head To Toe (Volume 3),$1.75
1987,RPi 4B Basic Kit 4-EU Plug (w/o Raspberry Pi),$30.25
1988,GPS Evaluation Board,$38.75 $11.78
1989,Arduino Mega ADK-Main Board,$57.50
1990,10mm Rectangular Inductive Sensor,$21.75
1991,IC 74HC365N,$1.05
1992,Robot. Head To Toe (Volume 5),$1.75
1993,IC 74HCT4059N,$6.25
1994,M8 Inductive Proximity Sensor,$25.13
1995,Raspberry Pi 4B Basic Kit UK Plug (w/o Raspberry Pi),$32.50
1996,IC 74HC147N,$0.58
1997,IC LM3914,$2.35
1998,SUNX Digital Fiber Sensor (Red LED),$112.50
1999,Digilent NetFPGA-1G-CML Kintex-7 FPGA,"$1,975.00"
