Index,Item,Price
667,Grove - Light Sensor v1.2,$3.25
668,Sharp Analog Distance Sensor (4-30cm),$9.00
669,USB to ESP01(ESP8266) Serial Adapter Board,$1.48
670,3D Printer 1.75mm PLA Filament(Fluorescent Red),$17.25 $15.98
671,125KHz USB RFID Smart Card Reader EM4100,$5.23
672,LED Super Bright 3mm Green,$0.05
673,RPi 4B 8G Basic Kit 3-UK Plug(w RPI4B8G),$146.00
674,Raspberry Pi Media Kit,$64.75
675,2561 3way connector extension wire,$0.38
676,25Amp 7V-58V High Voltage DC Motor Driver,$49.00
677,24V 395RPM 112kgfcm Electric Scooter Motor With Gear,$72.50
678,Cytron G15 Shield,$7.50
679,Gravity: Water / Liquid Level Sensor,$10.50
680,CNC Shield V3 for Arduino,$2.50
681,Air Fly Mouse with Mini Keyboard (2.4G),$12.25
682,25Amp 7V-58V High Voltage DC Motor Driver,$49.00
683,24V 395RPM 112kgfcm Electric Scooter Motor With Gear,$72.50
684,Cytron G15 Shield,$7.50
685,Mini Wheel 34x7mm For N20 Gear Motor,$1.25
686,Gigabit Ethernet Cable 2 meters,$2.23
687,Fanless Armor Case for Raspberry Pi 4B - Gold,$12.25
688,HL8211 Push To On Button (Red),$0.75
689,650nm Laser 5V 5mW Module,$0.73
690,Grove - 4-Digit Display,$6.25
691,Power Window Motor (Wira) - Left,$8.50
692,RPI GPIO Expansion Extension Board,$5.25
693,Vibrate / Tilt Switch Sensor,$0.38
694,3D Printer 1.75mm PLA Filament (Pink),$17.25 $13.73
695,Breakout Board ATX Right Angle,$6.50 $2.48
696,ZIF Socket-40 pin,$3.25 $0.50
697,Gravity: Analog Soil Moisture Sensor,$5.00
698,Multicore Wire 8AWG Red (meter),$2.88
699,RCW-0001 Micro Ultrasonic Range,$3.75
700,Obstacle Avoidance Mobile Robot Kit,$21.25
701,Ikedo Mini Sumo Robot Pro Kit,$149.75
702,RC Servo Motor (Metal Gear),$20.00
703,LED 5mm Blue,$0.03
704,Potential Meter 1K,$0.30
705,Sensor Cable - Electrode Pads (3 Connec),$7.50
706,6xAA Battery Holder (Compact),$0.75
707,2600 PCB Connector Header (R/A) 4 Ways,$0.08
708,DC-DC 5A Step Up Power Module (4-30V),$7.50
709,2561 PCB Connector Housing 4 Ways,$0.03
710,Rocker Switch Big 4 Pins Red,$0.88
711,Multilayer Capacitor 100pF,$0.04
712,ElecFreaks micro:bit Smart Home Kit (without micro:bit),$55.00
713,micro:bit Acrylic Enclosure (Transparent),$1.50
714,Bolt M4x10mm,$0.03
715,Single Core Cable (Roll) Green,$6.25
716,Pro'skit Crimping Tool,$5.70
717,Enclosure for Arduino UNO - Black,$1.13
718,Hakko 609-029 Sponge,$1.25
719,IC Socket-14 pin,$0.08
720,DIY Bionic Worm Crawling Robot (with Batteries),$2.48
721,6V 45RPM DC Micro Metal Gearmotor,$4.63
722,3xAA Battery Holder,$0.38
723,Preset 10K,$0.13
724,Pro'skit Crimping Tool,$5.70
725,Enclosure for Arduino UNO - Black,$1.13
726,Hakko 609-029 Sponge,$1.25
727,Water Solenoid Valve 12V DC G1/2 NC,$6.23
728,mBot N20 Vacuum Steel Ball Universal Wheel (Castor),$0.75
729,Tiny:bit smart robot car for micro:bit (without micro:bit),$32.50
730,Raspberry Pi 15-pin Camera FFC Cable - 1 meter,$2.73
731,Keypad 4x4,$6.25
732,Thermocouple Amplifier MAX6675,$11.25 $2.25
733,Voltage Regulator +6V,$0.25
734,M3 PCB Stand (screw & screw)15mm,$0.20
735,RGB Color Sensor with IR filter,$10.50
736,M3 PCB Stand (screw & screw)40mm,$0.35
737,RF 4CH Remote Control Kit (Momentory),$7.00
738,Grove - Touch Sensor,$4.13
739,24V 2600RPM 12.24kgfcm Electric Scooter Motor,$37.50
740,5MP Night Vision Camera for Raspberry Pi,$49.75
741,7 Segment Display 0.5inch Common Anode,$0.38
742,2-Pin KCD1-101 Rocker Switch 6A/250V Red,$0.38
743,TFMini - Micro LiDAR Module (12m),$44.75
744,4 Channels Solid State Relay Module(Low Trigger),$6.98
745,12V 200RPM 2kgfcm Brushed DC Geared Motor,$13.75
746,Pro'skit Wire Stripper Cutter,$4.50
747,IC PIC18F4580,$7.50
748,Voltage Regulator +6V,$0.25
749,3D Printer 0.4mm Extruder Flat Nozzle (1.75mm Input),$1.08
750,Official Raspberry Pi High Quality Camera Module,$59.75
751,3D Printer 1.75mm PLA Filament (Green),$17.25 $13.73
752,USB Volt & Current Meter with Display (Straight),$1.85
753,"Raspberry Pi Micro-HDMI to Standard HDMI, 2m Black",$11.25
754,IC Hook with Tail (6 colors),$3.25
755,100W Adjustable DC Boost Converter with Display,$6.98
756,Condenser Mic,$0.63
757,2561 PCB Connector Housing 3 Ways,$0.02
758,Hakko Dual Wattage Soldering Iron,$22.00
759,Acrylic Sheet (A4) 5mm,$3.75
760,4 x 7 Segment Display 0.5inch C/Anode,$1.88
761,Official Casing for Raspberry Pi 2/3/B+ (Black/Grey),$7.50
762,LED Super Bright 5mm Blue (Diffused),$0.06
763,RPi Relay Board,$20.00
764,Durable Silicone Tube 7*10mm (1 Meter),$1.13
765,Non-Invasive Current Sensor - 30A,$13.75
766,10kg Load Cell with HX711 Amplifier,$4.23
767,Grove - Speaker,$7.25
768,RPI Multifunctional GPIO Expansion Board,$7.50
769,22AWG Hook up Wire Kit,$9.75
770,Diodes 1N5822,$0.38
771,Silicon Case for BBC micro:bit (Blue),$5.00
772,Thermoelectric Power Generator Peltier 40x40,$3.48
773,ESP01 Humidity and Temperature Module,$2.30
774,Resistor 0.25W 5% (3K3),$0.01
775,Resistor 0.25W 5% (560R),$0.01
776,3D Printer 1.75mm PLA Filament(Fluorescent Green),$17.25 $15.98
777,Pro'skit 7mm Hot Glue Stick (10pcs),$0.88
778,Electrolytic Capacitor 63V 100uF,$0.16 $0.02
779,4.8 - 30V 3-Digit 7-Seg Voltmeter Display,$1.38
780,Breakout Board Micro SD,$2.25
781,"Servo Driver HAT for Raspberry Pi, 16-Channel, 12-bit, I2C",$12.50
782,Transistor BC557,$0.13
783,12V 16RPM 14kgfcm Brushed DC Geared Motor,$11.25
784,160Amp 8V-28V SmartDrive DC Motor Driver,$195.00
785,UPS Power HAT for Raspberry Pi Zero,$22.25
786,Grove - Line Finder v1.1,$4.13
787,Kittenbot IOBIT V2.0,$8.00
788,3 Colors 1.75mm PLA Filaments for 3D Pen-9 Meters,$0.70
789,Electrolytic Capacitor 50V 10uF,$0.09
790,Grove - Rotary Angle Sensor,$3.25
791,RPi 4B 8G Basic Kit-UK Plug(w RPI4B8G),$123.50
792,2021 PCB Connector Header (S) 4 Ways,$0.05
793,M4 Nut,$0.03
794,LCD with Pre-Soldered Header Pin - Green,$2.38
795,Right Angle Pin Header (Male) 2x40 Ways,$0.40
796,Wrapping Wire AWG30 1Roll (Blue),$4.50
797,Digital Thermostat Temperature Controller,$2.98
798,2561 PCB Connector Housing 2 Ways,$0.02
799,Raspberry Pi 4B 4GB Desktop Kit-EU Plug,$147.50
800,RPi Zero microB OTG to USB and Ethernet Hub,$10.48
801,Resistor 0.25W 5% (10M),$0.01
802,Electrolytic Capacitor 50V 10uF,$0.09
803,Grove - Rotary Angle Sensor,$3.25
804,JS40F Digital Distance Sensor (40cm),$19.25
805,PowerBoost 1000 Charger (1A 1000c),$23.75
806,Straight Female Header 2x10 Ways,$0.15
807,6V/4.5Ah Lead Acid,$6.25
808,Crystal H49S (Low Profile) 8MHz,$0.50 $0.03
809,Standalone USB MP3 Player Decoder Module,$2.23
810,3D Printer 1.75mm PLA Filament(Fluorescent Yellow),$17.25 $15.98
811,Bracket Holder for Raspberry Pi Camera Module,$1.23
812,Pro'skit Crimping Tool,$3.63
813,Electrolytic Capacitor 16V 220uF,$0.09
814,2600 PCB Connector Header (R/A) 2 Ways,$0.04
815,Servo Male - Female Extension Cable 30cm,$0.50
816,Micro USB OTG Adapter,$2.50
817,5 Inches Robot Wheel With 8mm Key Hub,$20.00
818,Vibration Sensor Switch (High Sensitive),$0.88
819,5 Inches Robot Wheel With 8mm Key Hub,$20.00
820,Vibration Sensor Switch (High Sensitive),$0.88
821,2020 PCB Connector Housing 3 Ways,$0.03 $0.02
822,SANWA Digital Multimeter,$39.75
823,Ready Stock: Creality Ender3 PRO 3D Printer DIY Kit (Unassembled),$278.75
824,Lithium Battery Voltage Indicator LED Display,$1.83
825,PCB PS 4x6inch,$0.80
826,Multilayer Capacitor 10pF,$0.04
827,IC LM324,$0.75
828,Grove - Air Quality Sensor v1.3,$11.25
829,Grove - Buzzer,$2.00
830,Terminal Block TB1506,$0.45
831,Pro'skit IC Extractor,$1.25
832,24V 148RPM 18kgfcm 45mm Planetary DC Geared Motor,$55.00
833,"10.1inch HDMI LCD (B) (with case), 1280x800, IPS",$132.50
834,Pro'skit Micro Cutting Plier,$6.25
835,"7inch HDMI LCD (B), 800x480, supports various systems",$60.00
836,Straight Turn Pin 40pin,$0.55
837,3961 PCB Connector Header(S) 2 Ways,$0.08
838,GrovePi+,$39.75
839,Microbit Quick Start Kit (without micro:bit),$9.75
840,1.5Amp 7V-25V DC Motor Driver (4 Channels),$31.25
841,Pro'skit 20W Hot Melt Glue Gun (7mm),$4.63
842,Tiny Phillips Screwdriver - 85mm,$0.25
843,1280 1/4W Resistor Kit 1 - 10MOhm (64 resistances),$10.88
844,Bolt M3x25mm,$0.04
845,MakerBot 3D Printer 12VDC 4010 Cooling Fan,$1.05
846,G 1/2 Water Flow Sensor,$14.00
847,Grove - Relay,$3.25
848,DIY Wooden Robotic Dinosaur (with Batteries),$3.00
849,Resistor 0.25W 5% (180R),$0.01
850,XBee 1mW Wire Antenna - Series 1,$27.25
851,AlphaBot2 robot building kit for Arduino (no Arduino controller),$62.50
852,Fish Eye Lense Raspberry Pi 5MP IR Camera,$12.25
853,12V 75RPM 3kgfcm Brushed DC Geared Motor with Encoder,$17.00
854,Breakout Board PS2 Connector,$2.25
855,3960 PCB Connector Housing 2 Ways,$0.03
856,3D Printer 1.75mm PLA Filament (Skin),$17.25 $15.98
857,Long Straight Turn Pin 40pin,$2.00 $0.50
858,B25 0 to 25V Voltage Sensor Module,$0.93
859,Shield L298P Motor Driver with GPIO,$6.63
860,DIY Wooden Plane DC Motor Propeller (w/o Battery),$2.63
861,Grove - Flame Sensor,$7.25
862,Plusivo BJT Transistors Assortment Kit,$4.75
863,Argon Neo Aluminum Case for Raspberry Pi 4B,$18.75
864,12V 75RPM 3kgfcm Brushed DC Geared Motor with Encoder,$17.00
865,Breakout Board PS2 Connector,$2.25
866,3960 PCB Connector Housing 2 Ways,$0.03
867,3D Printer 1.75mm PLA Filament (Skin),$17.25 $15.98
868,Long Straight Turn Pin 40pin,$2.00 $0.50
869,B25 0 to 25V Voltage Sensor Module,$0.93
870,Standard 3.2kg.cm Plastic Gears Analog Servo,$7.00
871,ESP01 250AC 10A Relay Module,$4.88
872,Voltage Regulator +9V,$0.25
873,2020 PCB Connector Housing 4 Ways,$0.04
874,Digispark Attiny85 USB-A Arduino Compatible,$2.23
875,NB-IoT SIM7000E HAT,$39.75
876,Resistor 0.25W 5% (220K),$0.01
877,LED 5mm Red Green (3pin),$0.13
878,Bolt M4x16mm,$0.05 $0.02
879,Songle Relay SRS 03VDC-SH,$0.50
880,Breakout 2020 connector 8 ways,$1.25 $0.23
881,Analog Piezoelectric Ceramic Vibration Module,$1.73
882,LM35 Analog Temperature Sensor Module,$2.03
883,Digispark Attiny85 USB-A Arduino Compatible,$2.23
884,NB-IoT SIM7000E HAT,$39.75
885,Resistor 0.25W 5% (220K),$0.01
886,LED 5mm Red Green (3pin),$0.13
887,Bolt M4x16mm,$0.05 $0.02
888,80mm Magnetic Door Lock,$17.50
889,Pin Header Sticker for Maker Uno,$0.45
890,Resistor 0.25W 5% (1K5),$0.01
891,PCB UV Board PP1530 (Kinsten),$7.50
892,Solar Charger Shield v2.2,$16.25
893,Silicon Wheel 64mm x 26mm (1 pair),$16.25
894,Terminal Pin For 3960,$0.05
895,UPS Power HAT for Raspberry Pi,$32.25
896,10 Ways Straight Box Header,$0.13
897,Cytron UNO (Arduino Compatible) IoT WiFi Kit-Temperature,$27.75
898,Solar Cell/Panel 3V 120mA (0.36W),$2.45
899,Terminal Pin For 3960,$0.05
900,UPS Power HAT for Raspberry Pi,$32.25
901,10 Ways Straight Box Header,$0.13
902,Cytron UNO (Arduino Compatible) IoT WiFi Kit-Temperature,$27.75
903,Solar Cell/Panel 3V 120mA (0.36W),$2.45
904,Seeeduino XIAO,$8.73
905,Relay Shield v3.0,$20.50
906,Inventor's Kit for the BBC micro:bit,$30.00
907,Spring Terminal 2 Ways (Side),$0.30
908,RGB Cooling HAT with fan and OLED for 4B/3B+/3B,$19.75
909,12V 405RPM 6.5kgfcm Planetary DC Geared Motor with Encoder,$62.50
910,Plusivo Potentiometer Assortment Kit,$4.75
911,INA219 High Side DC Current Sensor Breakout,$4.73
912,12V 225RPM 1.3kgfcm Brushed DC Geared Motor,$11.25
913,Straight 2mm Female Header 1x10 Ways,$0.25
914,Metal Key Hub - 10mm,$8.75
915,Raspberry Pi Retropie Game Kit,$68.75
916,Grove - Infrared Emitter,$4.13
917,12V 45RPM 9kgfcm Brushed DC Geared Motor,$13.75
918,Rocker Switch Big 4 Pins Green,$0.88
919,Solar Cell/Panel 5V 200mA (1W),$6.23
920,IC PIC18F4550,$7.50
921,1.2Amp 7V-30V DC Motor Driver Shield for Arduino (2 Channels),$18.75
922,Grove - RGB LED Stick (10 - WS2813 Mini),$5.25
923,Electrolytic Capacitor 50V 100uF,$0.11
924,Gigabit Ethernet Cable 5 meters,$3.23
925,Spring Terminal 3 Ways (Top),$0.40
926,Resistor 0.25W 5% (1K2),$0.01
927,2510 PCB Connector Housing 5 Ways,$0.04
928,Terminal Block TB1504,$0.30
929,U Joint,$3.25 $0.50
930,4xAA Battery Holder (Compact),$0.50
931,CH340 USB to TTL Serial Cable,$1.88
932,EcoDuino - An Auto Planting Kit,$64.75
933,Pro'skit Long Nose Plier,$4.63
934,434MHz RF Transceiver Module (UART)-100m,$6.25
935,Aluminum 25T Servo Horn Arm (Red),$1.23
936,Maker Object: Simplifying Object Sensor for Beginner,$12.25
937,Grove - Infrared Receiver,$4.13
938,Fluke 101 Multimeter,$49.75
939,"2.13inch E-Ink display HAT for Raspberry Pi, three-color",$20.00
940,Pro'skit Dual Wattage Soldering,$6.75
941,3D Printer 1.75mm PLA Filament (Rainbow),$22.25 $18.75
942,Resistor 0.25W 5% (680R),$0.01
943,Double Sided Donut Board 4x6cm - Green,$0.90
944,Electrolytic Capacitor 25V 330uF,$0.11 $0.02
945,Plusivo Wireless Super Starter Kit with ESP8266,$23.75
946,Serial Extension Cable,$2.50
947,HL8211 Push To On Button (Blue),$0.75
948,Zener Diodes 1/2W 3V3,$0.08
949,Kit-DIY Wooden Plane DC Motor Propeller with Batteries,$3.00
950,Electrolytic Capacitor 16V 47uF,$0.06
951,IC ULN2003,$0.50
952,Wrapping Wire AWG30 1Roll (Yellow),$4.50
953,JST RCY Receptacle with Wire 15cm,$0.50
954,Multilayer Capacitor 0.001uF,$0.04
955,M3 PCB Stand with Magnet - Female (13x12mm),$0.13
956,Electrolytic Capacitor 25V 47uF,$0.08
957,Electrolytic Capacitor 63V 22uF,$0.10 $0.02
958,IC Socket-18 pin,$0.10
959,Grove - RTC,$7.25
960,Diodes 1N5819,$0.20
961,2021 PCB Connector Header (S) 3 Ways,$0.04
962,"Edge Breakout for micro:bit, I/O Expansion",$10.00
963,2xAAA Battery Holder,$0.25
964,SA-6 6mm Pneumatic Flow Speed Control Valve,$1.13
965,Argon One Aluminum Multifunction Case for RPi 4B,$31.23 $28.75
966,DIY Proto HAT Shield,$5.00
967,Maker Mini Sumo Controller: Simplifying Sumo Robot for Beginner,$24.75
968,12V 75RPM 5.5kgfcm Brushed DC Geared Motor,$13.75
969,12V 22RPM 7kgfcm Brushed DC Geared Motor,$11.25
970,Screw Board Terminal Block-2 Ways,$0.25
971,ELECFREAKS Motor:bit for Micro:bit,$15.00
972,Optical Encoder kit for SPG10HP (Pair),$9.75
973,Carbon Monoxide Sensor,$12.25
974,BX-4112 Round Hole Bread Board,$7.00
975,Pro'skit Precision Hand Drill,$1.25
976,2 Channels Solid State Relay Module(Low Trigger),$3.73
977,Multiturn Preset 3296W 10K,$0.50
978,Electrolytic Capacitor 25V 470uF,$0.14
979,Aluminum Box (113x66x42.7mm) Silver,$8.75
980,micro:bit 2x40 Edge Connector (R/A),$3.75
981,Omron Limit Switch,$0.88
982,Mini Jumper With Tail,$0.08
983,MQ3 Alcohol Sensor Module,$2.10
984,Solar Charger Controller 10A (12V/24V),$21.25
985,Magnet Ring OD10mm x H3mm (ID3mm),$0.50
986,Book-20 Easy Raspberry Pi Projects,$21.83
987,IC 74LS08,$0.50
988,micro:bit Smart Home Kit (with micro:bit Junior),$74.98
989,Songle DPDT Relay SRC 05V,$0.88
990,0.9 to 5VDC USB Booster Module - Green,$0.75
991,12V 225RPM 1.3kgfcm Brushed DC Geared Motor with Encoder,$17.00
992,Aluminium Robot Chassis Complete Set,$24.75
993,Resistor 0.25W 5% (330K),$0.01
994,12V 150RPM 1.8kgfcm Brushed DC Geared Motor with Encoder,$17.00
995,Acrylic Case for Raspberry Pi 3A+ with Fan,$5.00
996,Rocker Switch with Wire-20CM,$0.63
997,PS2 Controller Starter Kit,$11.25
998,Pro'skit Diagonal Cutting Plier,$4.25
999,IC LM386,$0.75
1000,Fan Module with Propeller and L9110 Driver,$4.38
1001,Acrylic Case for Raspberry Pi 3A+ with Fan,$5.00
1002,Rocker Switch with Wire-20CM,$0.63
1003,PS2 Controller Starter Kit,$11.25
1004,Pro'skit Diagonal Cutting Plier,$4.25
1005,1xAA Battery Holder,$0.13
1006,Long Analog Distance Sensor (20-150cm),$9.75
1007,"2.7inch E-Ink display HAT for Raspberry Pi, three-color",$24.75
1008,Finger Adjust Preset 20K,$0.45
1009,L293D Shield for NodeMCU V2,$2.98
1010,DB9 Female,$0.20
1011,Log-scale Analog Light Sensor,$6.00
1012,Rotatable Connect,$1.00
1013,micro:bit basic game handle,$18.75
1014,Resistor 0.25W 5% (33K),$0.01
1015,Terminal Block TB1503,$0.23
1016,Electrolytic Capacitor 63V 330uF,$0.30 $0.03
1017,DB9 Cover,$0.20
1018,2510 PCB Connector Housing 6 Ways,$0.05
1019,12V 248RPM 10kgfcm Planetary DC Geared Motor with Encoder,$62.50
1020,TRRS 3.5mm Jack Breakout Board for Audio,$0.63
1021,Mega Proto Shield,$3.75
1022,USB 5V Boost to 12V 2.1mm DC Barrel,$3.48
1023,Sharp Optical Dust Sensor,$6.73
1024,Zener Diodes 1/2W 8V2,$0.08 $0.02
1025,Transistor IRF4905,$1.75
1026,18V 94RPM 255kgfcm High Power Planetary DC Geared Motor,$95.00
1027,Resistor 0.25W 5% (3K),$0.01
1028,Crystal H49S (Low Profile) 12MHz,$0.50 $0.03
1029,Grove - 16 x 2 LCD (White on Blue),$6.25
1030,RPi 4B 8G Basic Kit 7-UK Plug(w RPI4B8G),$118.75 $106.88
1031,Crystal H49U (Real Time Clock),$0.50
1032,Magnet Block Strong N52 30x10x5 mm,$9.88
1033,2600 PCB Connector Header(S) 5 Ways,$0.08
1034,BNC to 2 Crocodile Clip Oscilloscope Test Probe Leads (1m),$1.25
1035,Reed Switch Module,$1.00 $0.85
1036,DIP Switch(8Way),$0.60
1037,IC CD4511,$0.50
1038,12V 120RPM 18kgfcm Planetary DC Geared Motor with Encoder,$65.00
1039,XBEE Breakout Board,$1.25
1040,3D Printer 1.75mm PLA Filament (Bronze),$17.25 $13.73
1041,Upgraded Aluminum MK8 Extruder for Ender3,$11.25
1042,10.1 Inch IPS 1280x800 HDMI Screen,$82.50
1043,Thermoelectric 12706 Power Generator Peltier,$2.63
1044,USB Connector A Type Male,$0.25
1045,6 pins Toggle Switch,$0.75
1046,Spring Terminal 3 Ways (Side),$0.40
1047,PCB PS 6x8inch,$1.60
1048,Enclosure for Arduino Mega - Transparent,$3.73
1049,Electrolytic Capacitor 63V 47uF,$0.11 $0.02
1050,Resistor 0.25W 5% (6K8),$0.01
1051,Transistor TIP42C,$0.40
1052,6V 600RPM Medium Power DC Micro Metal Gearmotor,$4.63
1053,Long U-Joint,$3.75 $0.23
1054,Resistor 0.25W 5% (270R),$0.01
1055,Grove - Thumb Joystick,$6.25
1056,5 DOF IMU,$26.25
1057,Wire Clip,$0.75 $0.23
1058,Multilayer Capacitor 0.047uF,$0.04
1059,Spring Terminal 3 Ways (Side),$0.40
1060,PCB PS 6x8inch,$1.60
1061,Terminal Block TB1510,$0.75
1062,RPi 4B 8G Basic Kit 2-UK Plug(w RPI4B8G),$136.00
1063,Raspberry PI Compute Module 3+ 8G,$43.50
1064,12V 38RPM 5kgfcm Brushed DC Geared Motor,$11.25
1065,Grove - Vibration Sensor (SW-420),$2.75
1066,Micro Switch (Long Lever),$0.75
1067,6x3x1 Push Button,$0.13
1068,5VDC Inductive Proximity Sensor NPN NO,$3.73
1069,Flexible Bend Sensor 4.5 Inches,$24.50
1070,Robot. Head To Toe (Volume 11),$1.75
1071,64/80 Pin TQFP to DIP Adapter,$1.25 $0.23
1072,PKCELL Ultra Alkaline 9V Battery,$1.13
1073,DB9 Male,$0.20
1074,IC PIC18F4520,$7.50
1075,Digispark Attiny85 USB microB Arduino Compatible,$3.23
1076,Grove - Blue LED Button,$2.75
1077,IC PIC16F876A,$4.00
1078,Grove - PIR Motion Sensor,$10.00
1079,6x3x1 Push Button,$0.13
1080,Flexible Bend Sensor 4.5 Inches,$24.50
1081,Robot. Head To Toe (Volume 11),$1.75
1082,PKCELL Ultra Alkaline 9V Battery,$1.13
1083,64/80 Pin TQFP to DIP Adapter,$1.25 $0.23
1084,DB9 Male,$0.20
1085,Digispark Attiny85 USB microB Arduino Compatible,$3.23
1086,IC PIC18F4520,$7.50
1087,RPi 4B 8G Basic Kit 4-UK Plug(w RPI4B8G),$117.50
1088,LiPo Rechargeable Battery 11.1V 2200mAh 30C,$12.48
1089,Grove - Yellow LED Button,$2.75
1090,Pololu Ball Caster c/w Plastic Ball,$5.98 $2.48
1091,2600 PCB Connector Header(S) 6 Ways,$0.09
1092,12V 38RPM 5kgfcm Brushed DC Geared Motor with Encoder,$17.00
1093,Resistor 0.25W 5% (33R),$0.01
1094,Electrolytic Capacitor 16V 2200uF,$0.21
1095,AlphaBot2 robot kit for Raspberry Pi 3 (no Pi),$87.50
1096,Pro'skit 3.5X Handheld LED Light Magnifier,$3.50
1097,12V 16RPM 14kgfcm Brushed DC Geared Motor with Encoder,$17.00
1098,ElecFreaks micro:bit Smart Science IoT kit (without micro:bit),$73.75
1099,12V 38RPM 5kgfcm Brushed DC Geared Motor with Encoder,$17.00
1100,Resistor 0.25W 5% (33R),$0.01
1101,Electrolytic Capacitor 16V 2200uF,$0.21
1102,AlphaBot2 robot kit for Raspberry Pi 3 (no Pi),$87.50
1103,Pro'skit 3.5X Handheld LED Light Magnifier,$3.50
1104,12V 16RPM 14kgfcm Brushed DC Geared Motor with Encoder,$17.00
1105,ElecFreaks micro:bit Smart Science IoT kit (without micro:bit),$73.75
1106,Potential Meter 20K,$0.30
1107,Terminal Block TB1512,$0.90
1108,Grove - Finger-clip Heart Rate Sensor,$28.75
1109,Gravity: Analog Rotation Potentiometer,$8.75
1110,SiPEED MAiXDuino RISC-V AI IoT Kit,$32.25
1111,Resistor 0.25W 5% (47R),$0.01
1112,Potential Meter 50K,$0.30
1113,"ElecFreaks Basic:bit for micro:bit three way I/O expansion, mini version",$4.50
1114,Multilayer Capacitor 30pF,$0.04
1115,Resistor 0.25W 5% (2K7),$0.01
1116,IC ULN2803,$0.75
1117,Breakout board for PS/2 Socket,$2.00 $0.23
1118,Resistor 0.25W 5% (15K),$0.01
1119,SOIC/SSOP to DIP Adapter,$1.25
1120,3D Printer 1.75mm ABS Filament (Black),$14.75 $12.25
1121,Grove - Multi Color Flash LED (5mm),$2.00
1122,Resistor 0.25W 5% (15K),$0.01
1123,Transistor 2N3905,$0.15
1124,Breakout board for PS/2 Socket,$2.00 $0.23
1125,1W High Power LED Beads 6000K (Cool White),$0.35
1126,Solar Cell/Panel 3V 160mA (0.48W) Wire Soldered,$2.45
1127,PIC18F2520,$6.25 $3.13
1128,Servo Extension Wire to Male Dupont,$0.75
1129,KIttenbot ROBOTBIT V2.1,$24.75
1130,High Resolution Ultrasonic Range Finder,$36.25
1131,Breakout SOIC 8 Pins,$0.63
1132,1 Channel Solid State Relay Module(Low Trigger),$1.98
1133,6 Ways IDC Socket,$0.08 $0.02
1134,RPi 4B 8G Basic Kit 5-UK Plug(w RPI4B8G),$131.25
1135,Black Wings- 3.3v/5v Power Breadboard Adapter BDP,$3.13
1136,12V 63RPM 20kgfcm Planetary DC Geared Motor with Encoder,$65.00
1137,Inky pHAT - Yellow (ePaper/eInk/EPD),$26.25
1138,Switching Power Supply 12V 4.2A,$19.15
1139,1W High Power LED Beads 6000K (Cool White),$0.35
1140,Solar Cell/Panel 3V 160mA (0.48W) Wire Soldered,$2.45
1141,PIC18F2520,$6.25 $3.13
1142,Servo Extension Wire to Male Dupont,$0.75
1143,KIttenbot ROBOTBIT V2.1,$24.75
1144,High Resolution Ultrasonic Range Finder,$36.25
1145,DIP Switch(6Way),$0.45
1146,Standard 10kg.cm Metal Gears Analog Servo,$12.50
1147,40 Ways Straight Box Header,$0.50
1148,Inter Connect,$0.75
1149,Male to Male Extension Cable (L),$1.25 $0.23
1150,micro:bit Ring:bit Car V2 Kit (with micro:bit Junior),$45.10
1151,Ball Caster with 3/4 Inches Metal Ball,$3.63
1152,Grove Creator Kit - γ (40 Sensors in 1),$142.50
1153,5019 4 digit 7-segment TM1637 Module - White,$3.55
1154,Resistor 0.25W 5% (51R),$0.01
1155,6 Channel Servo Player,$70.00
1156,MG811 Carbon Dioxide CO2 Sensor Module,$49.75
1157,2022 PCB Connector Header (R/A) 3 Ways,$0.04 $0.02
1158,Natural Gas Sensor,$8.75
1159,608ZZ Ball Bearing for 3D Printer,$0.33
1160,PKCELL Heavy Duty AAA Battery (4pcs),$0.38
1161,2022 PCB Connector Header (R/A) 3 Ways,$0.04 $0.02
1162,Combustible Gas Sensor,$14.75
1163,Infrared Sensor,$12.25 $2.48
1164,ELECFREAKS micro:bit case - Black,$3.13
1165,18V 260RPM 92kgfcm High Power Planetary DC Geared Motor,$95.00
1166,BitMaker (without micro:bit),$12.25
1167,Crystal H49S (Low Profile) 11.0592MHz,$0.50 $0.03
1168,Resistor 0.25W 5% (1R),$0.01
1169,Songle Relay SRS 12VDC-SH,$0.50
1170,Wheel for Standard continues rotation servo,$1.75
1171,Book-Learn Robotics with Raspberry Pi,$21.83
1172,2 in 1 LiPo Battery Indicator and Alarm,$1.63
1173,2020 PCB Connector Housing 6 Ways,$0.06
1174,Cable for UIC00B,$0.50
1175,Pro'skit 11mm Hot Glue Stick (10pcs),$1.63
1176,12V 3000rpm DC Brushed Motor with Bracket,$18.00
1177,Transistor CS9013,$0.10
1178,6 Ways Straight Box Header,$0.08 $0.02
1179,PL6-01 L Shaped Pneumatic Fitting 6mm Male,$0.34
1180,Electrolytic Capacitor 16V 22uF,$0.05
1181,2600 PCB Connector Header(S) 8 Ways,$0.12
1182,Planetary Geared Motor Bracket (IG32E),$3.50
1183,XT60 Female Connector with 14AWG Silicon Wire,$1.25
1184,AR2000 Pneumatic Air Pressure Regulator,$3.13
1185,Super:bit expansion board for micro:bit,$23.75
1186,Adapter Board for Arduino & Raspberry Pi,$21.25
1187,716 3.7v 18000RPM Coreless Vibration Motor,$1.13
1188,Electrolytic Capacitor 50V 33uF,$0.09 $0.02
